,<CONFIDENTIAL>,,,,,,,,,,,,
Normalized Fluorescence signal from 1000-1200 nm,,,,,,Maximum emission cross section,,,,,,,
,LG-770,LG-760,LG-750,APG-1,,LG-770,LG-760,LG-750,APG-1,,,,Prepared by Dr. Tedi-Marie Usher-Ditzian
Wavelength,Normalized,Normalized,Normalized,Normalized,,_em ,_em ,_em ,_em ,,,,SCHOTT R&D North America
l [nm],"Signal, FC(l)","Signal, FC(l)","Signal, FC(l)","Signal, FC(l)",,[10-20 cm2],[10-20 cm2],[10-20 cm2],[10-20 cm2],,,,"Oct 4th, 2021"
1012.875,-0.000944492,0.001622829,-0.000193275,0.001218277,,,,,,,,,
1013,0.000923772,0.00106896,0.005085669,-0.000269652,,,,,,,,,
1013.125,-0.002192182,0.001618445,0.002444355,0.002699184,,,,,,,,,
1013.25,0.000299111,0.002167929,0.001123085,0.001955671,,,,,,,,,
1013.375,-0.003439871,0.00161406,-0.002178248,0.001212158,,,,,,,,,
1013.5,-0.000325551,0.001611868,-0.000859433,-0.00027577,,,,,,,,,
1013.625,-0.002818478,-0.001700387,-0.000860661,-0.002503249,,,,,,,,,
1013.75,0.000295842,-4.75481E-05,0.001778196,-0.001762796,,,,,,,,,
1013.875,0.000295025,0.000501937,0.003097012,-0.000280359,,,,,,,,,
1014,0.000917234,0.003809808,0.001775742,-0.003994237,,,,,,,,,
1014.125,-0.000952665,0.002704261,0.000454473,-0.001025401,,,,,,,,,
1014.25,-0.002199537,-5.6317E-05,0.001113266,-0.002510897,,,,,,,,,
1014.375,0.000914783,-0.001161864,-0.000868025,0.001199921,,,,,,,,,
1014.5,0.002160021,0.001042653,-0.001529273,0.001940375,,,,,,,,,
1014.625,0.001536176,-0.001166248,0.001109584,0.001196862,,,,,,,,,
1014.75,-0.000333723,-0.00116844,0.001108357,0.003421282,,,,,,,,,
1014.875,0.000911514,-0.001170633,0.00176715,-0.002518545,,,,,,,,,
1015,0.002156752,-0.003379534,0.003085966,0.001192273,,,,,,,,,
1015.125,-0.000959203,0.004341755,0.001104675,0.001190744,,,,,,,,,
1015.25,-0.00096002,0.002132853,0.001763468,-0.002523134,,,,,,,,,
1015.375,-0.001583865,0.002130661,0.001762241,-0.003266647,,,,,,,,,
1015.5,0.0002844,0.001576792,0.001100993,-0.000300244,,,,,,,,,
1015.625,0.00402175,0.001022923,0.001759786,-0.001043757,,,,,,,,,
1015.75,0.002774876,-0.001737655,0.001758559,0.00043868,,,,,,,,,
1015.875,0.000281949,-8.48161E-05,0.00043729,0.00043715,,,,,,,,,
1016,0.000904158,-0.00174204,-0.002204023,-0.002532312,,,,,,,,,
1016.125,-0.000965741,-0.002847587,0.001754877,-0.004020241,,,,,,,,,
1016.25,0.000279497,0.001011962,0.001753649,-0.001051405,,,,,,,,,
1016.375,-0.001590403,0.000458092,0.003732486,0.000431032,,,,,,,,,
1016.5,0.000900889,0.003214286,0.001751195,-0.002538431,,,,,,,,,
1016.625,0.000900072,0.002660417,0.003730032,-0.001055994,,,,,,,,,
1016.75,0.001522283,0.003209902,-0.000891344,-0.00031554,,,,,,,,,
1016.875,-0.000347616,0.002656032,0.003067556,-0.002543019,,,,,,,,,
1017,0.000274594,-0.000104546,0.000426243,-0.0003186,,,,,,,,,
1017.125,0.000273776,0.002651648,-0.000235005,0.000421854,,,,,,,,,
1017.25,0.000895986,0.001546101,0.003723895,-0.000321659,,,,,,,,,
1017.375,0.000895169,-0.001214477,0.003722667,0.002647177,,,,,,,,,
1017.5,0.00151738,0.000990039,0.001741376,-0.000324718,,,,,,,,,
